year,index_name,asset_id,export_description,export_status,scale,crs,notes
2019,NIRv,users/gyf/forest_csc_alphaearth/stage03_indices/NIRv_2019,NIRv_2019,submitted,30,EPSG:4326,Submitted task ID: IB3X42MBJHVQQRQOKX4FFPF7
2020,NDVI,users/gyf/forest_csc_alphaearth/stage03_indices/NDVI_2020,NDVI_2020,submitted,30,EPSG:4326,Submitted task ID: UIFBAFK6USYVVHHKKOGXMFOC
2020,FVC,users/gyf/forest_csc_alphaearth/stage03_indices/FVC_2020,FVC_2020,submitted,30,EPSG:4326,Submitted task ID: 2JYPUSETXM56FEZ6STCQ6HCH
2020,NIRv,users/gyf/forest_csc_alphaearth/stage03_indices/NIRv_2020,NIRv_2020,submitted,30,EPSG:4326,Submitted task ID: XJ5Y2U7JNER6X5NGHH2K2OWV
2021,NDVI,users/gyf/forest_csc_alphaearth/stage03_indices/NDVI_2021,NDVI_2021,submitted,30,EPSG:4326,Submitted task ID: Z4DHH6O7BCKSNV2WCQUMISZB
2021,FVC,users/gyf/forest_csc_alphaearth/stage03_indices/FVC_2021,FVC_2021,submitted,30,EPSG:4326,Submitted task ID: BTFH5KJDRVSMTMY3XZYPT3VF
2021,NIRv,users/gyf/forest_csc_alphaearth/stage03_indices/NIRv_2021,NIRv_2021,submitted,30,EPSG:4326,Submitted task ID: UGBTHFOCT6K7D532DI5J7K5R
2022,NDVI,users/gyf/forest_csc_alphaearth/stage03_indices/NDVI_2022,NDVI_2022,submitted,30,EPSG:4326,Submitted task ID: WL2TTD5FCVCOBAE3XHPUGXQP
2022,FVC,users/gyf/forest_csc_alphaearth/stage03_indices/FVC_2022,FVC_2022,submitted,30,EPSG:4326,Submitted task ID: QODCARGEL4DUFTEKEASMCEUV
2022,NIRv,users/gyf/forest_csc_alphaearth/stage03_indices/NIRv_2022,NIRv_2022,submitted,30,EPSG:4326,Submitted task ID: D6GOLSV5SUBFD6V5XN5TDYII
2023,NDVI,users/gyf/forest_csc_alphaearth/stage03_indices/NDVI_2023,NDVI_2023,submitted,30,EPSG:4326,Submitted task ID: 52EYECBCXOLLVUWQONE6R6XB
2023,FVC,users/gyf/forest_csc_alphaearth/stage03_indices/FVC_2023,FVC_2023,submitted,30,EPSG:4326,Submitted task ID: R5IMZCEKH27SX5FQL757CHVF
2023,NIRv,users/gyf/forest_csc_alphaearth/stage03_indices/NIRv_2023,NIRv_2023,submitted,30,EPSG:4326,Submitted task ID: NZPO67AT4AAVQ5LKB3MEA3IX
2024,NDVI,users/gyf/forest_csc_alphaearth/stage03_indices/NDVI_2024,NDVI_2024,submitted,30,EPSG:4326,Submitted task ID: XCVA74X5AMXJ6DLCPJ55UG7G
2024,FVC,users/gyf/forest_csc_alphaearth/stage03_indices/FVC_2024,FVC_2024,submitted,30,EPSG:4326,Submitted task ID: 7IQ3LMIO2YYEGGRHS24MAVLN
2024,NIRv,users/gyf/forest_csc_alphaearth/stage03_indices/NIRv_2024,NIRv_2024,submitted,30,EPSG:4326,Submitted task ID: Y2ZWQ4LN77WCJ735H7LWEPSQ
